county,precinct,office,district,party,candidate,votes
Davis,Centerville 5,President,,Green,Jill Stein,1
Davis,Centerville 5,President,,Socialist Workers,Alyson Kennedy,1
Davis,Centerville 6,President,,,Fuente,0
Davis,Centerville 6,President,,Green,Jill Stein,4
Davis,Centerville 6,President,,Socialist Workers,Alyson Kennedy,1
Davis,Centerville 7,President,,,Fuente,0
Davis,Centerville 7,President,,Green,Jill Stein,4
Davis,Centerville 7,President,,Socialist Workers,Alyson Kennedy,0
Davis,Centerville 8,President,,,Fuente,0
Davis,Centerville 8,President,,Green,Jill Stein,3
Davis,Centerville 8,President,,Socialist Workers,Alyson Kennedy,0
Davis,Centerville 9,President,,,Fuente,0
Davis,Centerville 9,President,,Green,Jill Stein,6
Davis,Centerville 9,President,,Socialist Workers,Alyson Kennedy,0
Davis,Centerville 10,President,,,Fuente,1
Davis,Centerville 10,President,,Green,Jill Stein,2
Davis,Centerville 10,President,,Socialist Workers,Alyson Kennedy,0
Davis,Centerville 11,President,,,Fuente,0
Davis,Centerville 11,President,,Green,Jill Stein,5
Davis,Centerville 11,President,,Socialist Workers,Alyson Kennedy,0
Davis,Clearfield 1,President,,,Fuente,0
Davis,Clearfield 1,President,,Green,Jill Stein,10
Davis,Clearfield 1,President,,Socialist Workers,Alyson Kennedy,2
Davis,Clearfield 2,President,,,Fuente,1
Davis,Clearfield 2,President,,Green,Jill Stein,5
Davis,Clearfield 2,President,,Socialist Workers,Alyson Kennedy,0
Davis,Clearfield 3,President,,,Fuente,0
Davis,Clearfield 3,President,,Green,Jill Stein,3
Davis,Clearfield 3,President,,Socialist Workers,Alyson Kennedy,0
Davis,Clearfield 4,President,,,Fuente,6
Davis,Clearfield 4,President,,Green,Jill Stein,8
Davis,Clearfield 4,President,,Socialist Workers,Alyson Kennedy,1
Davis,Clearfield 5,President,,,Fuente,0
Davis,Clearfield 5,President,,Green,Jill Stein,9
Davis,Clearfield 5,President,,Socialist Workers,Alyson Kennedy,0
Davis,Clearfield 6,President,,,Fuente,0
Davis,Clearfield 6,President,,Green,Jill Stein,7
Davis,Clearfield 6,President,,Socialist Workers,Alyson Kennedy,0
Davis,Clearfield 7,President,,,Fuente,0
Davis,Clearfield 7,President,,Green,Jill Stein,8
Davis,Clearfield 7,President,,Socialist Workers,Alyson Kennedy,2
Davis,Clearfield 8,President,,,Fuente,1
Davis,Clearfield 8,President,,Green,Jill Stein,7
Davis,Clearfield 8,President,,Socialist Workers,Alyson Kennedy,1
Davis,Clearfield 9,President,,,Fuente,1
Davis,Clearfield 9,President,,Green,Jill Stein,6
Davis,Clearfield 9,President,,Socialist Workers,Alyson Kennedy,0
Davis,Clearfield 10,President,,,Fuente,0
Davis,Clearfield 10,President,,Green,Jill Stein,4
Davis,Clearfield 10,President,,Socialist Workers,Alyson Kennedy,0
Davis,Clearfield 11,President,,,Fuente,0
Davis,Clearfield 11,President,,Green,Jill Stein,7
Davis,Clearfield 11,President,,Socialist Workers,Alyson Kennedy,0
Davis,Clearfield 12,President,,,Fuente,1
Davis,Clearfield 12,President,,Green,Jill Stein,8
Davis,Clearfield 12,President,,Socialist Workers,Alyson Kennedy,2
Davis,Clearfield 13,President,,,Fuente,0
Davis,Clearfield 13,President,,Green,Jill Stein,0
Davis,Clearfield 13,President,,Socialist Workers,Alyson Kennedy,0
Davis,Clearfield 14,President,,,Fuente,0
Davis,Clearfield 14,President,,Green,Jill Stein,0
Davis,Clearfield 14,President,,Socialist Workers,Alyson Kennedy,0
Davis,Clearfield 15,President,,,Fuente,0
Davis,Clearfield 15,President,,Green,Jill Stein,0
Davis,Clearfield 15,President,,Socialist Workers,Alyson Kennedy,0
Davis,Clinton 1,President,,,Fuente,2
Davis,Clinton 1,President,,Green,Jill Stein,9
Davis,Clinton 1,President,,Socialist Workers,Alyson Kennedy,0
Davis,Clinton 2,President,,,Fuente,0
Davis,Clinton 2,President,,Green,Jill Stein,5
Davis,Clinton 2,President,,Socialist Workers,Alyson Kennedy,0
Davis,Clinton 3,President,,,Fuente,0
Davis,Clinton 3,President,,Green,Jill Stein,0
Davis,Clinton 3,President,,Socialist Workers,Alyson Kennedy,1
Davis,Clinton 4,President,,,Fuente,2
Davis,Clinton 4,President,,Green,Jill Stein,8
Davis,Clinton 4,President,,Socialist Workers,Alyson Kennedy,0
Davis,Clinton 5,President,,,Fuente,0
Davis,Clinton 5,President,,Green,Jill Stein,0
Davis,Clinton 5,President,,Socialist Workers,Alyson Kennedy,0
Davis,Clinton 6,President,,,Fuente,0
Davis,Clinton 6,President,,Green,Jill Stein,4
Davis,Clinton 6,President,,Socialist Workers,Alyson Kennedy,0
Davis,Clinton 7,President,,,Fuente,1
Davis,Clinton 7,President,,Green,Jill Stein,4
Davis,Clinton 7,President,,Socialist Workers,Alyson Kennedy,0
Davis,Clinton 8,President,,,Fuente,0
Davis,Clinton 8,President,,Green,Jill Stein,7
Davis,Clinton 8,President,,Socialist Workers,Alyson Kennedy,0
Davis,Clinton 9,President,,,Fuente,1
Davis,Clinton 9,President,,Green,Jill Stein,12
Davis,Clinton 9,President,,Socialist Workers,Alyson Kennedy,0
Davis,Clinton 10,President,,,Fuente,0
Davis,Clinton 10,President,,Green,Jill Stein,1
Davis,Clinton 10,President,,Socialist Workers,Alyson Kennedy,0
Davis,Clinton 11,President,,,Fuente,0
Davis,Clinton 11,President,,Green,Jill Stein,7
Davis,Clinton 11,President,,Socialist Workers,Alyson Kennedy,0
Davis,Clinton 12,President,,,Fuente,0
Davis,Clinton 12,President,,Green,Jill Stein,1
Davis,Clinton 12,President,,Socialist Workers,Alyson Kennedy,0
Davis,Farmington 1,President,,,Fuente,1
Davis,Farmington 1,President,,Green,Jill Stein,4
Davis,Farmington 1,President,,Socialist Workers,Alyson Kennedy,0
Davis,Farmington 2,President,,,Fuente,0
Davis,Farmington 2,President,,Green,Jill Stein,4
Davis,Farmington 2,President,,Socialist Workers,Alyson Kennedy,0
Davis,Farmington 3,President,,,Fuente,0
Davis,Farmington 3,President,,Green,Jill Stein,9
Davis,Farmington 3,President,,Socialist Workers,Alyson Kennedy,0
Davis,Farmington 4,President,,,Fuente,0
Davis,Farmington 4,President,,Green,Jill Stein,0
Davis,Farmington 4,President,,Socialist Workers,Alyson Kennedy,0
Davis,Farmington 5,President,,,Fuente,1
Davis,Farmington 5,President,,Green,Jill Stein,0
Davis,Farmington 5,President,,Socialist Workers,Alyson Kennedy,0
Davis,Farmington 6,President,,,Fuente,1
Davis,Farmington 6,President,,Green,Jill Stein,3
Davis,Farmington 6,President,,Socialist Workers,Alyson Kennedy,0
Davis,Farmington 7,President,,,Fuente,0
Davis,Farmington 7,President,,Green,Jill Stein,3
Davis,Farmington 7,President,,Socialist Workers,Alyson Kennedy,0
Davis,Farmington 8,President,,,Fuente,0
Davis,Farmington 8,President,,Green,Jill Stein,7
Davis,Farmington 8,President,,Socialist Workers,Alyson Kennedy,0
Davis,Farmington 9,President,,,Fuente,1
Davis,Farmington 9,President,,Green,Jill Stein,4
Davis,Farmington 9,President,,Socialist Workers,Alyson Kennedy,0
Davis,Farmington 10,President,,,Fuente,0
Davis,Farmington 10,President,,Green,Jill Stein,7
Davis,Farmington 10,President,,Socialist Workers,Alyson Kennedy,1
Davis,Farmington 11,President,,,Fuente,0
Davis,Farmington 11,President,,Green,Jill Stein,6
Davis,Farmington 11,President,,Socialist Workers,Alyson Kennedy,0
Davis,Farmington 12,President,,,Fuente,0
Davis,Farmington 12,President,,Green,Jill Stein,4
Davis,Farmington 12,President,,Socialist Workers,Alyson Kennedy,0
Davis,Farmington 13,President,,,Fuente,0
Davis,Farmington 13,President,,Green,Jill Stein,4
Davis,Farmington 13,President,,Socialist Workers,Alyson Kennedy,0
Davis,Fruit Heights 1,President,,,Fuente,0
Davis,Fruit Heights 1,President,,Green,Jill Stein,7
Davis,Fruit Heights 1,President,,Socialist Workers,Alyson Kennedy,1
Davis,Fruit Heights 2,President,,,Fuente,0
Davis,Fruit Heights 2,President,,Green,Jill Stein,3
Davis,Fruit Heights 2,President,,Socialist Workers,Alyson Kennedy,0
Davis,Fruit Heights 3,President,,,Fuente,0
Davis,Fruit Heights 3,President,,Green,Jill Stein,7
Davis,Fruit Heights 3,President,,Socialist Workers,Alyson Kennedy,0
Davis,Fruit Heights 4,President,,,Fuente,0
Davis,Fruit Heights 4,President,,Green,Jill Stein,1
Davis,Fruit Heights 4,President,,Socialist Workers,Alyson Kennedy,0
Davis,Hill AFB 1,President,,,Fuente,0
Davis,Hill AFB 1,President,,Green,Jill Stein,1
Davis,Hill AFB 1,President,,Socialist Workers,Alyson Kennedy,0
Davis,Hill AFB 2,President,,,Fuente,0
Davis,Hill AFB 2,President,,Green,Jill Stein,0
Davis,Hill AFB 2,President,,Socialist Workers,Alyson Kennedy,0
Davis,Kaysville 1,President,,,Fuente,2
Davis,Kaysville 1,President,,Green,Jill Stein,1
Davis,Kaysville 1,President,,Socialist Workers,Alyson Kennedy,0
Davis,Kaysville 2,President,,,Fuente,0
Davis,Kaysville 2,President,,Green,Jill Stein,0
Davis,Kaysville 2,President,,Socialist Workers,Alyson Kennedy,0
Davis,Kaysville 3,President,,,Fuente,0
Davis,Kaysville 3,President,,Green,Jill Stein,4
Davis,Kaysville 3,President,,Socialist Workers,Alyson Kennedy,0
Davis,Kaysville 4,President,,,Fuente,1
Davis,Kaysville 4,President,,Green,Jill Stein,2
Davis,Kaysville 4,President,,Socialist Workers,Alyson Kennedy,0
Davis,Kaysville 5,President,,,Fuente,0
Davis,Kaysville 5,President,,Green,Jill Stein,4
Davis,Kaysville 5,President,,Socialist Workers,Alyson Kennedy,1
Davis,Kaysville 6,President,,,Fuente,0
Davis,Kaysville 6,President,,Green,Jill Stein,4
Davis,Kaysville 6,President,,Socialist Workers,Alyson Kennedy,1
Davis,Kaysville 7,President,,,Fuente,0
Davis,Kaysville 7,President,,Green,Jill Stein,0
Davis,Kaysville 7,President,,Socialist Workers,Alyson Kennedy,0
Davis,Kaysville 8,President,,,Fuente,0
Davis,Kaysville 8,President,,Green,Jill Stein,0
Davis,Kaysville 8,President,,Socialist Workers,Alyson Kennedy,0
Davis,Kaysville 9,President,,,Fuente,0
Davis,Kaysville 9,President,,Green,Jill Stein,4
Davis,Kaysville 9,President,,Socialist Workers,Alyson Kennedy,0
Davis,Kaysville 10,President,,,Fuente,1
Davis,Kaysville 10,President,,Green,Jill Stein,7
Davis,Kaysville 10,President,,Socialist Workers,Alyson Kennedy,1
Davis,Kaysville 11,President,,,Fuente,0
Davis,Kaysville 11,President,,Green,Jill Stein,1
Davis,Kaysville 11,President,,Socialist Workers,Alyson Kennedy,0
Davis,Kaysville 12,President,,,Fuente,2
Davis,Kaysville 12,President,,Green,Jill Stein,3
Davis,Kaysville 12,President,,Socialist Workers,Alyson Kennedy,0
Davis,Kaysville 13,President,,,Fuente,0
Davis,Kaysville 13,President,,Green,Jill Stein,2
Davis,Kaysville 13,President,,Socialist Workers,Alyson Kennedy,0
Davis,Kaysville 14,President,,,Fuente,0
Davis,Kaysville 14,President,,Green,Jill Stein,4
Davis,Kaysville 14,President,,Socialist Workers,Alyson Kennedy,0
Davis,Kaysville 15,President,,,Fuente,0
Davis,Kaysville 15,President,,Green,Jill Stein,3
Davis,Kaysville 15,President,,Socialist Workers,Alyson Kennedy,0
Davis,Kaysville 16,President,,,Fuente,0
Davis,Kaysville 16,President,,Green,Jill Stein,4
Davis,Kaysville 16,President,,Socialist Workers,Alyson Kennedy,0
Davis,Kaysville 17,President,,,Fuente,0
Davis,Kaysville 17,President,,Green,Jill Stein,1
Davis,Kaysville 17,President,,Socialist Workers,Alyson Kennedy,0
Davis,Kaysville 18,President,,,Fuente,0
Davis,Kaysville 18,President,,Green,Jill Stein,5
Davis,Kaysville 18,President,,Socialist Workers,Alyson Kennedy,0
Davis,Kaysville 19,President,,,Fuente,0
Davis,Kaysville 19,President,,Green,Jill Stein,2
Davis,Kaysville 19,President,,Socialist Workers,Alyson Kennedy,0
Davis,Kaysville 20,President,,,Fuente,0
Davis,Kaysville 20,President,,Green,Jill Stein,1
Davis,Kaysville 20,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 1,President,,,Fuente,1
Davis,Layton 1,President,,Green,Jill Stein,2
Davis,Layton 1,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 2,President,,,Fuente,0
Davis,Layton 2,President,,Green,Jill Stein,8
Davis,Layton 2,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 3,President,,,Fuente,0
Davis,Layton 3,President,,Green,Jill Stein,2
Davis,Layton 3,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 4,President,,,Fuente,0
Davis,Layton 4,President,,Green,Jill Stein,3
Davis,Layton 4,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 5,President,,,Fuente,0
Davis,Layton 5,President,,Green,Jill Stein,1
Davis,Layton 5,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 6,President,,,Fuente,0
Davis,Layton 6,President,,Green,Jill Stein,6
Davis,Layton 6,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 7,President,,,Fuente,0
Davis,Layton 7,President,,Green,Jill Stein,13
Davis,Layton 7,President,,Socialist Workers,Alyson Kennedy,1
Davis,Layton 8,President,,,Fuente,0
Davis,Layton 8,President,,Green,Jill Stein,2
Davis,Layton 8,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 9,President,,,Fuente,0
Davis,Layton 9,President,,Green,Jill Stein,4
Davis,Layton 9,President,,Socialist Workers,Alyson Kennedy,1
Davis,Layton 10,President,,,Fuente,0
Davis,Layton 10,President,,Green,Jill Stein,2
Davis,Layton 10,President,,Socialist Workers,Alyson Kennedy,1
Davis,Layton 11,President,,,Fuente,1
Davis,Layton 11,President,,Green,Jill Stein,7
Davis,Layton 11,President,,Socialist Workers,Alyson Kennedy,1
Davis,Layton 12,President,,,Fuente,2
Davis,Layton 12,President,,Green,Jill Stein,3
Davis,Layton 12,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 13,President,,,Fuente,1
Davis,Layton 13,President,,Green,Jill Stein,9
Davis,Layton 13,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 14,President,,,Fuente,0
Davis,Layton 14,President,,Green,Jill Stein,4
Davis,Layton 14,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 15,President,,,Fuente,0
Davis,Layton 15,President,,Green,Jill Stein,2
Davis,Layton 15,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 16,President,,,Fuente,1
Davis,Layton 16,President,,Green,Jill Stein,6
Davis,Layton 16,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 17,President,,,Fuente,0
Davis,Layton 17,President,,Green,Jill Stein,7
Davis,Layton 17,President,,Socialist Workers,Alyson Kennedy,1
Davis,Layton 18,President,,,Fuente,2
Davis,Layton 18,President,,Green,Jill Stein,3
Davis,Layton 18,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 19,President,,,Fuente,0
Davis,Layton 19,President,,Green,Jill Stein,8
Davis,Layton 19,President,,Socialist Workers,Alyson Kennedy,1
Davis,Layton 20,President,,,Fuente,2
Davis,Layton 20,President,,Green,Jill Stein,7
Davis,Layton 20,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 21,President,,,Fuente,0
Davis,Layton 21,President,,Green,Jill Stein,3
Davis,Layton 21,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 22,President,,,Fuente,0
Davis,Layton 22,President,,Green,Jill Stein,6
Davis,Layton 22,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 23,President,,,Fuente,0
Davis,Layton 23,President,,Green,Jill Stein,0
Davis,Layton 23,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 24,President,,,Fuente,0
Davis,Layton 24,President,,Green,Jill Stein,6
Davis,Layton 24,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 25,President,,,Fuente,0
Davis,Layton 25,President,,Green,Jill Stein,0
Davis,Layton 25,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 26,President,,,Fuente,0
Davis,Layton 26,President,,Green,Jill Stein,4
Davis,Layton 26,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 27,President,,,Fuente,0
Davis,Layton 27,President,,Green,Jill Stein,3
Davis,Layton 27,President,,Socialist Workers,Alyson Kennedy,2
Davis,Layton 28,President,,,Fuente,0
Davis,Layton 28,President,,Green,Jill Stein,9
Davis,Layton 28,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 29,President,,,Fuente,1
Davis,Layton 29,President,,Green,Jill Stein,1
Davis,Layton 29,President,,Socialist Workers,Alyson Kennedy,1
Davis,Layton 30,President,,,Fuente,0
Davis,Layton 30,President,,Green,Jill Stein,13
Davis,Layton 30,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 31,President,,,Fuente,1
Davis,Layton 31,President,,Green,Jill Stein,7
Davis,Layton 31,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 32,President,,,Fuente,2
Davis,Layton 32,President,,Green,Jill Stein,14
Davis,Layton 32,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 33,President,,,Fuente,0
Davis,Layton 33,President,,Green,Jill Stein,4
Davis,Layton 33,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 34,President,,,Fuente,1
Davis,Layton 34,President,,Green,Jill Stein,3
Davis,Layton 34,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 35,President,,,Fuente,0
Davis,Layton 35,President,,Green,Jill Stein,3
Davis,Layton 35,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 36,President,,,Fuente,0
Davis,Layton 36,President,,Green,Jill Stein,3
Davis,Layton 36,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 37,President,,,Fuente,1
Davis,Layton 37,President,,Green,Jill Stein,8
Davis,Layton 37,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 38,President,,,Fuente,1
Davis,Layton 38,President,,Green,Jill Stein,5
Davis,Layton 38,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 39,President,,,Fuente,1
Davis,Layton 39,President,,Green,Jill Stein,1
Davis,Layton 39,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 40,President,,,Fuente,0
Davis,Layton 40,President,,Green,Jill Stein,6
Davis,Layton 40,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 41,President,,,Fuente,0
Davis,Layton 41,President,,Green,Jill Stein,4
Davis,Layton 41,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 42,President,,,Fuente,1
Davis,Layton 42,President,,Green,Jill Stein,6
Davis,Layton 42,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 43,President,,,Fuente,1
Davis,Layton 43,President,,Green,Jill Stein,16
Davis,Layton 43,President,,Socialist Workers,Alyson Kennedy,0
Davis,Layton 44,President,,,Fuente,0
Davis,Layton 44,President,,Green,Jill Stein,0
Davis,Layton 44,President,,Socialist Workers,Alyson Kennedy,0
Davis,North Salt Lake 1,President,,,Fuente,0
Davis,North Salt Lake 1,President,,Green,Jill Stein,9
Davis,North Salt Lake 1,President,,Socialist Workers,Alyson Kennedy,0
Davis,North Salt Lake 2,President,,,Fuente,2
Davis,North Salt Lake 2,President,,Green,Jill Stein,7
Davis,North Salt Lake 2,President,,Socialist Workers,Alyson Kennedy,1
Davis,North Salt Lake 3,President,,,Fuente,0
Davis,North Salt Lake 3,President,,Green,Jill Stein,8
Davis,North Salt Lake 3,President,,Socialist Workers,Alyson Kennedy,0
Davis,North Salt Lake 4,President,,,Fuente,0
Davis,North Salt Lake 4,President,,Green,Jill Stein,5
Davis,North Salt Lake 4,President,,Socialist Workers,Alyson Kennedy,1
Davis,North Salt Lake 5,President,,,Fuente,1
Davis,North Salt Lake 5,President,,Green,Jill Stein,1
Davis,North Salt Lake 5,President,,Socialist Workers,Alyson Kennedy,0
Davis,North Salt Lake 6,President,,,Fuente,1
Davis,North Salt Lake 6,President,,Green,Jill Stein,4
Davis,North Salt Lake 6,President,,Socialist Workers,Alyson Kennedy,1
Davis,North Salt Lake 7,President,,,Fuente,1
Davis,North Salt Lake 7,President,,Green,Jill Stein,6
Davis,North Salt Lake 7,President,,Socialist Workers,Alyson Kennedy,0
Davis,North Salt Lake 8,President,,,Fuente,0
Davis,North Salt Lake 8,President,,Green,Jill Stein,4
Davis,North Salt Lake 8,President,,Socialist Workers,Alyson Kennedy,0
Davis,North Salt Lake 9,President,,,Fuente,0
Davis,North Salt Lake 9,President,,Green,Jill Stein,3
Davis,North Salt Lake 9,President,,Socialist Workers,Alyson Kennedy,0
Davis,North Salt Lake 10,President,,,Fuente,0
Davis,North Salt Lake 10,President,,Green,Jill Stein,7
Davis,North Salt Lake 10,President,,Socialist Workers,Alyson Kennedy,0
Davis,South Weber 1,President,,,Fuente,0
Davis,South Weber 1,President,,Green,Jill Stein,4
Davis,South Weber 1,President,,Socialist Workers,Alyson Kennedy,0
Davis,South Weber 2,President,,,Fuente,1
Davis,South Weber 2,President,,Green,Jill Stein,7
Davis,South Weber 2,President,,Socialist Workers,Alyson Kennedy,0
Davis,South Weber 3,President,,,Fuente,0
Davis,South Weber 3,President,,Green,Jill Stein,4
Davis,South Weber 3,President,,Socialist Workers,Alyson Kennedy,0
Davis,South Weber 4,President,,,Fuente,0
Davis,South Weber 4,President,,Green,Jill Stein,0
Davis,South Weber 4,President,,Socialist Workers,Alyson Kennedy,0
Davis,Sunset 1,President,,,Fuente,0
Davis,Sunset 1,President,,Green,Jill Stein,10
Davis,Sunset 1,President,,Socialist Workers,Alyson Kennedy,1
Davis,Sunset 2,President,,,Fuente,2
Davis,Sunset 2,President,,Green,Jill Stein,4
